row,theta_e_level,p_q_level,p_g_level,lambda_l_level,theta_e,p_q,p_g,lambda_l,calibration_J_p,validation_J_p,calibration_traceability,calibration_critique_effectiveness,calibration_controllability,calibration_robustness,calibration_cognitive_load,calibration_low_reliability_verified_claim_proportion,calibration_unresolved_risk_rate,validation_traceability,validation_critique_effectiveness,validation_controllability,validation_robustness,validation_cognitive_load,validation_low_reliability_verified_claim_proportion,validation_unresolved_risk_rate,validation_rank,validation_margin_to_best,validation_margin_to_second
3,1,3,3,3,0.45,0.92,0.9,0.3,0.5478095287777938,0.5504649590296592,0.7025863782431128,0.9695112433862435,0.8412322581062414,0.6241823012291231,0.7301146061075308,0.14749455628367877,0.0241984126984127,0.7105733116926038,0.9698468783068788,0.8406633066145024,0.6280805671585292,0.7234266245175507,0.15891872127790085,0.019744444444444436,1,0.0,0.005950476806886207
5,2,2,3,1,0.55,0.82,0.9,0.1,0.5451124157888071,0.544514482222773,0.6884384628526062,0.9720083333333328,0.8407848738619851,0.6062712784184092,0.7248122399355521,0.10530136221195029,0.021888888888888892,0.6864151435053577,0.9720481481481482,0.8402441555190242,0.6052486776803336,0.7244328301502903,0.10544641720729604,0.018833333333333327,2,0.005950476806886207,
range_selected,2,2,2,1,0.55,0.82,0.9,0.1,0.5455573694028701,0.544514482222773,0.6893745923877156,0.9724929600235159,0.8405915783556781,0.6038942611383618,0.7240173995879378,0.1020086286516819,0.015256613756613762,0.6864151435053577,0.9720481481481482,0.8402441555190242,0.6052486776803336,0.7244328301502903,0.10544641720729604,0.018833333333333327,2,0.005950476806886207,
7,3,1,3,2,0.65,0.62,0.9,0.2,0.5352916037648396,0.5350465261107535,0.6647799685532312,0.9793611111111111,0.8410006987939878,0.5592685800602805,0.713230926291277,0.1043527363801054,0.005666666666666666,0.6629042267618634,0.9810655555555561,0.8402196799128152,0.5589294208125071,0.713108418900973,0.1029122363167444,0.006266666666666667,4,0.015418432918905656,
2,1,2,2,2,0.45,0.82,0.8,0.2,0.5292260518740972,0.5289492666397069,0.7146524743030771,0.9167462962962968,0.7979029484554808,0.6169911400988665,0.7160621188651678,0.16428676471238585,0.06188888888888889,0.7100389355044865,0.9194411111111108,0.7987833066145034,0.6146779802511877,0.716011124457734,0.15811654145958648,0.05913333333333325,5,0.021515692389952323,
4,2,1,2,3,0.55,0.62,0.8,0.3,0.5252763979459357,0.525566162129554,0.686699605251909,0.9339074074074074,0.7987021372154977,0.5740554381659189,0.7018692878386857,0.10210781121488553,0.039722222222222235,0.6873707741453231,0.938047037037038,0.798364155519023,0.5741160866858843,0.7064356325999867,0.10519380569721612,0.039711111111111204,6,0.024898796900105213,
9,3,3,2,1,0.65,0.92,0.8,0.1,0.5083144495636641,0.5061762340624992,0.6678864585769448,0.8806949735449733,0.7973138916701349,0.6073448603221752,0.7416857307486333,0.1082594500566284,0.10227777777777765,0.6620243212487662,0.8766798941798949,0.7983396799128166,0.6071897143820205,0.740602213166181,0.10265555633224108,0.1161079365079367,7,0.044288724967159965,
1,1,1,1,1,0.45,0.62,0.6,0.1,0.46782696265843715,0.4728642881754035,0.7125542878661942,0.7451962962962962,0.7141102182918931,0.5854015584069857,0.7052295832097535,0.16392211729827638,0.20883333333333343,0.7110426523196521,0.7620161111111105,0.715676639947836,0.586274315482178,0.6997006864205477,0.15886089602549153,0.19066666666666673,8,0.0776006708542557,
6,2,3,1,2,0.55,0.92,0.6,0.2,0.45766753258069115,0.45256406155386547,0.6928669906141836,0.6933740740740739,0.717178644731639,0.6210074107597062,0.7279746095291116,0.10302467271939938,0.2778333333333332,0.6860282506020967,0.6853739417989406,0.7152574888523587,0.6184547243132978,0.731856145325107,0.10547650871597536,0.29118888888888755,9,0.09790089747579372,
8,3,2,1,3,0.65,0.82,0.6,0.3,0.4452446612901163,0.44373339764605135,0.6687047008466329,0.6851611111111107,0.7151271917802459,0.5974803951738391,0.7348756476091307,0.09944969189672716,0.28611111111111104,0.6621603098161974,0.6912502380952378,0.715233013246148,0.5921399870700028,0.7320400985140217,0.10242413985410528,0.29686666666666506,10,0.10673156138360784,
