setting,sensitivity_seed_index,sensitivity_seed,delta_gpi_vs_selected,delta_low_reliability_verified_vs_selected,delta_non_verified_linked_claim_vs_selected
low_evidence,1,20262910,0.007843,0.061201,-0.053177
high_evidence,1,20262910,-0.008145,-0.006026,0.069489
low_critique_rate,1,20262910,-0.006082,-0.001047,-0.000896
high_critique_rate,1,20262910,0.002630,-0.002080,0.002168
strict_gate,1,20262910,0.006545,0.000000,0.000000
low_evidence,2,20262947,0.006220,0.058820,-0.053022
high_evidence,2,20262947,-0.008924,-0.004302,0.063579
low_critique_rate,2,20262947,-0.005908,-0.000336,-0.002288
high_critique_rate,2,20262947,0.002743,-0.000561,0.000561
strict_gate,2,20262947,0.006558,0.000000,0.000000
low_evidence,3,20262984,0.007646,0.058349,-0.061581
high_evidence,3,20262984,-0.009232,-0.001178,0.061604
low_critique_rate,3,20262984,-0.006236,0.001228,-0.001300
high_critique_rate,3,20262984,0.002723,-0.000397,0.000382
strict_gate,3,20262984,0.006558,0.000000,0.000000
low_evidence,4,20263021,0.007067,0.058329,-0.060494
high_evidence,4,20263021,-0.007299,0.007101,0.056718
low_critique_rate,4,20263021,-0.006233,-0.000319,-0.001018
high_critique_rate,4,20263021,0.002600,-0.000246,0.001710
strict_gate,4,20263021,0.006548,0.000000,0.000000
low_evidence,5,20263058,0.006813,0.053926,-0.054891
high_evidence,5,20263058,-0.008850,-0.002381,0.060599
low_critique_rate,5,20263058,-0.006275,-0.000372,-0.001598
high_critique_rate,5,20263058,0.002577,-0.000401,-0.000255
strict_gate,5,20263058,0.006560,0.000000,0.000000
low_evidence,6,20263095,0.006747,0.060715,-0.055367
high_evidence,6,20263095,-0.008325,-0.000862,0.059398
low_critique_rate,6,20263095,-0.006057,0.001541,-0.000532
high_critique_rate,6,20263095,0.002984,-0.000187,-0.000277
strict_gate,6,20263095,0.006548,0.000000,0.000000
low_evidence,7,20263132,0.007883,0.065648,-0.063994
high_evidence,7,20263132,-0.006946,0.006314,0.050913
low_critique_rate,7,20263132,-0.006111,0.000916,-0.002975
high_critique_rate,7,20263132,0.002911,0.000972,-0.000522
strict_gate,7,20263132,0.006548,0.000000,0.000000
low_evidence,8,20263169,0.006992,0.053370,-0.048918
high_evidence,8,20263169,-0.007066,-0.002543,0.060587
low_critique_rate,8,20263169,-0.006012,-0.001191,-0.002077
high_critique_rate,8,20263169,0.002821,-0.001695,-0.000113
strict_gate,8,20263169,0.006553,0.000000,0.000000
low_evidence,9,20263206,0.006240,0.053362,-0.049342
high_evidence,9,20263206,-0.009181,-0.004585,0.061269
low_critique_rate,9,20263206,-0.005970,0.001077,-0.001118
high_critique_rate,9,20263206,0.002670,0.000178,-0.000921
strict_gate,9,20263206,0.006566,0.000000,0.000000
low_evidence,10,20263243,0.008497,0.062061,-0.059986
high_evidence,10,20263243,-0.007037,-0.002289,0.053551
low_critique_rate,10,20263243,-0.006258,-0.000842,-0.001391
high_critique_rate,10,20263243,0.002661,0.000040,0.001025
strict_gate,10,20263243,0.006568,0.000000,0.000000
low_evidence,11,20263280,0.007199,0.052755,-0.050447
high_evidence,11,20263280,-0.007377,-0.001176,0.060016
low_critique_rate,11,20263280,-0.006319,0.000447,-0.000706
high_critique_rate,11,20263280,0.002604,-0.000099,0.001724
strict_gate,11,20263280,0.006558,-0.000105,0.000217
low_evidence,12,20263317,0.007478,0.056115,-0.057904
high_evidence,12,20263317,-0.006576,0.005680,0.048677
low_critique_rate,12,20263317,-0.006115,-0.000423,-0.001040
high_critique_rate,12,20263317,0.003059,0.000240,0.001283
strict_gate,12,20263317,0.006560,0.000000,0.000000
low_evidence,13,20263354,0.007224,0.060262,-0.059334
high_evidence,13,20263354,-0.008692,0.001974,0.057898
low_critique_rate,13,20263354,-0.006053,-0.001058,-0.000950
high_critique_rate,13,20263354,0.002615,0.000583,0.000839
strict_gate,13,20263354,0.006550,0.000000,0.000000
low_evidence,14,20263391,0.007231,0.060452,-0.054914
high_evidence,14,20263391,-0.009278,-0.001951,0.064194
low_critique_rate,14,20263391,-0.006225,-0.000682,-0.001335
high_critique_rate,14,20263391,0.002739,-0.001285,0.000613
strict_gate,14,20263391,0.006552,0.000000,0.000000
low_evidence,15,20263428,0.008049,0.059069,-0.061934
high_evidence,15,20263428,-0.008855,-0.002621,0.058370
low_critique_rate,15,20263428,-0.006294,0.000296,-0.000088
high_critique_rate,15,20263428,0.002928,-0.000079,0.000239
strict_gate,15,20263428,0.006552,0.000000,0.000000
low_evidence,16,20263465,0.006806,0.056023,-0.053147
high_evidence,16,20263465,-0.009043,-0.002789,0.069960
low_critique_rate,16,20263465,-0.006260,-0.000145,0.000394
high_critique_rate,16,20263465,0.002892,-0.001139,0.001227
strict_gate,16,20263465,0.006552,0.000000,0.000000
low_evidence,17,20263502,0.007341,0.048794,-0.049319
high_evidence,17,20263502,-0.006882,-0.000986,0.058230
low_critique_rate,17,20263502,-0.006154,-0.001696,-0.001870
high_critique_rate,17,20263502,0.002653,0.000071,0.000550
strict_gate,17,20263502,0.006555,0.000000,0.000000
low_evidence,18,20263539,0.006514,0.058292,-0.048057
high_evidence,18,20263539,-0.007135,0.002683,0.062153
low_critique_rate,18,20263539,-0.006237,-0.000089,-0.002290
high_critique_rate,18,20263539,0.002818,-0.000363,-0.000320
strict_gate,18,20263539,0.006561,0.000000,0.000000
low_evidence,19,20263576,0.007395,0.057461,-0.053714
high_evidence,19,20263576,-0.008491,0.002178,0.059111
low_critique_rate,19,20263576,-0.006080,0.001232,-0.002524
high_critique_rate,19,20263576,0.002609,-0.000298,-0.000770
strict_gate,19,20263576,0.006552,0.000000,0.000000
low_evidence,20,20263613,0.009331,0.056277,-0.058261
high_evidence,20,20263613,-0.006926,-0.002228,0.056169
low_critique_rate,20,20263613,-0.006098,-0.000857,-0.000914
high_critique_rate,20,20263613,0.002810,-0.001123,0.001549
strict_gate,20,20263613,0.006569,0.000000,0.000000
