setting,sensitivity_seed_index,sensitivity_seed,n,selected_gpi_mean,selected_gpi_sd,selected_gpi_ci95,selected_gpi_median,selected_gpi_q05,selected_gpi_q95,selected_synthetic_utility_mean,selected_synthetic_utility_sd,selected_synthetic_utility_ci95,selected_synthetic_utility_median,selected_synthetic_utility_q05,selected_synthetic_utility_q95,selected_traceability_mean,selected_traceability_sd,selected_traceability_ci95,selected_traceability_median,selected_traceability_q05,selected_traceability_q95,selected_controllability_mean,selected_controllability_sd,selected_controllability_ci95,selected_controllability_median,selected_controllability_q05,selected_controllability_q95,cognitive_load_mean,cognitive_load_sd,cognitive_load_ci95,cognitive_load_median,cognitive_load_q05,cognitive_load_q95,low_reliability_verified_claim_proportion_mean,low_reliability_verified_claim_proportion_sd,low_reliability_verified_claim_proportion_ci95,low_reliability_verified_claim_proportion_median,low_reliability_verified_claim_proportion_q05,low_reliability_verified_claim_proportion_q95,non_verified_linked_claim_ratio_mean,non_verified_linked_claim_ratio_sd,non_verified_linked_claim_ratio_ci95,non_verified_linked_claim_ratio_median,non_verified_linked_claim_ratio_q05,non_verified_linked_claim_ratio_q95,selected_risk_penalty_mean,selected_risk_penalty_sd,selected_risk_penalty_ci95,selected_risk_penalty_median,selected_risk_penalty_q05,selected_risk_penalty_q95
low_evidence,1,20262910,500,0.649413,0.033745,0.002958,0.647455,0.593441,0.706732,0.630080,0.063412,0.005558,0.633480,0.516756,0.727245,0.711036,0.092100,0.008073,0.707619,0.562000,0.866250,0.841566,0.021188,0.001857,0.836326,0.812087,0.873655,0.714834,0.093688,0.008212,0.712096,0.562652,0.860268,0.165770,0.089446,0.007840,0.156250,0.040000,0.307692,0.403485,0.114515,0.010038,0.406250,0.187500,0.580645,0.511216,0.144305,0.012649,0.491949,0.314261,0.781611
selected,1,20262910,500,0.641570,0.032802,0.002875,0.643278,0.582724,0.694919,0.629398,0.062558,0.005483,0.634539,0.516680,0.726965,0.685294,0.088616,0.007767,0.685556,0.548000,0.835385,0.840765,0.020373,0.001786,0.836151,0.810951,0.871669,0.723963,0.091559,0.008026,0.723008,0.570039,0.862805,0.104570,0.074258,0.006509,0.090909,0.000000,0.250000,0.456662,0.112130,0.009829,0.458333,0.250000,0.631579,0.520781,0.145544,0.012758,0.504646,0.320164,0.779505
high_evidence,1,20262910,500,0.633425,0.031102,0.002726,0.634010,0.582414,0.682580,0.630726,0.062280,0.005459,0.632569,0.521579,0.729808,0.662708,0.088900,0.007792,0.660833,0.521143,0.805833,0.840398,0.020553,0.001802,0.835732,0.812191,0.870280,0.733283,0.095655,0.008385,0.734942,0.574793,0.878501,0.098543,0.069265,0.006071,0.090909,0.000000,0.214286,0.526151,0.116256,0.010190,0.531250,0.333333,0.710526,0.534922,0.147025,0.012887,0.513695,0.338252,0.804272
low_critique_rate,1,20262910,500,0.635488,0.033575,0.002943,0.636413,0.577240,0.688374,0.628703,0.063584,0.005573,0.633480,0.515671,0.726965,0.686878,0.089618,0.007855,0.686364,0.548000,0.835385,0.840765,0.020373,0.001786,0.836151,0.810951,0.871669,0.706720,0.089553,0.007850,0.706719,0.558800,0.847208,0.103522,0.073520,0.006444,0.090909,0.000000,0.238095,0.455766,0.114100,0.010001,0.454545,0.250000,0.636364,0.526856,0.149110,0.013070,0.508517,0.327123,0.805251
high_critique_rate,1,20262910,500,0.644201,0.032464,0.002846,0.645444,0.588220,0.695189,0.629993,0.063321,0.005550,0.634791,0.516680,0.727866,0.684289,0.089288,0.007826,0.682105,0.540000,0.835385,0.840765,0.020373,0.001786,0.836151,0.810951,0.871669,0.731553,0.092628,0.008119,0.735190,0.578547,0.874987,0.102490,0.072344,0.006341,0.090909,0.000000,0.240000,0.458830,0.113502,0.009949,0.461538,0.250000,0.636364,0.517367,0.145536,0.012757,0.502173,0.319819,0.779505
strict_gate,1,20262910,500,0.648115,0.032890,0.002883,0.649347,0.590390,0.700162,0.629398,0.062558,0.005483,0.634539,0.516680,0.726965,0.685294,0.088616,0.007767,0.685556,0.548000,0.835385,0.873355,0.008830,0.000774,0.873300,0.859072,0.887508,0.723963,0.091559,0.008026,0.723008,0.570039,0.862805,0.104570,0.074258,0.006509,0.090909,0.000000,0.250000,0.456662,0.112130,0.009829,0.458333,0.250000,0.631579,0.520509,0.145503,0.012754,0.502954,0.320164,0.779505
low_evidence,2,20262947,500,0.648192,0.033599,0.002945,0.647170,0.595775,0.705986,0.628234,0.061884,0.005424,0.630938,0.518726,0.726699,0.708556,0.089284,0.007826,0.706667,0.556923,0.846667,0.841150,0.020841,0.001827,0.835508,0.812892,0.874410,0.716147,0.091900,0.008055,0.710727,0.566984,0.861504,0.161976,0.082274,0.007212,0.157895,0.043478,0.307692,0.407114,0.114131,0.010004,0.407407,0.214286,0.588235,0.521587,0.152697,0.013384,0.509221,0.308951,0.795741
selected,2,20262947,500,0.641972,0.034523,0.003026,0.642340,0.587087,0.698844,0.631205,0.061577,0.005397,0.632920,0.525535,0.727866,0.686278,0.091206,0.007995,0.686364,0.544667,0.842500,0.840863,0.020298,0.001779,0.836116,0.812182,0.870709,0.723394,0.092960,0.008148,0.723036,0.572201,0.869554,0.103156,0.068445,0.005999,0.095238,0.000000,0.227273,0.460136,0.117125,0.010266,0.465116,0.250000,0.650000,0.527104,0.151573,0.013286,0.506058,0.319609,0.795099
high_evidence,2,20262947,500,0.633049,0.033630,0.002948,0.634401,0.581178,0.688603,0.630592,0.063273,0.005546,0.633939,0.516680,0.726779,0.662195,0.083004,0.007276,0.663200,0.532727,0.791111,0.840893,0.020680,0.001813,0.837239,0.813015,0.873135,0.732215,0.094965,0.008324,0.732541,0.582349,0.877370,0.098854,0.068143,0.005973,0.090909,0.000000,0.217391,0.523715,0.109855,0.009629,0.529412,0.333333,0.700000,0.534285,0.151506,0.013280,0.512781,0.327849,0.809084
low_critique_rate,2,20262947,500,0.636064,0.035034,0.003071,0.636116,0.578166,0.696919,0.630300,0.062382,0.005468,0.632569,0.523854,0.727866,0.688251,0.090283,0.007914,0.689524,0.547097,0.846667,0.840863,0.020298,0.001779,0.836116,0.812182,0.870709,0.706290,0.091107,0.007986,0.705436,0.559043,0.851032,0.102820,0.068986,0.006047,0.095238,0.000000,0.230769,0.457848,0.117295,0.010281,0.458333,0.250000,0.642857,0.528276,0.150495,0.013191,0.506058,0.323849,0.799839
