comparison,metric,n,mean_diff,sd_diff,t_stat,p_norm_approx,cohen_dz
ours - coa_gpt_style,selected_gpi,10000,0.238368,0.033975,701.608000,0.000000,7.016080
ours - rag_coa_style,selected_gpi,10000,0.143828,0.032878,437.462371,0.000000,4.374624
ours - autogen_style,selected_gpi,10000,0.131373,0.033159,396.197525,0.000000,3.961975
ours - masmp_style,selected_gpi,10000,0.114653,0.033392,343.354704,0.000000,3.433547
ours - coa_gpt_style,selected_synthetic_utility,10000,0.001717,0.033436,5.136356,0.000000,0.051364
ours - rag_coa_style,selected_synthetic_utility,10000,0.002245,0.033004,6.803674,0.000000,0.068037
ours - autogen_style,selected_synthetic_utility,10000,0.001856,0.032472,5.714351,0.000000,0.057144
ours - masmp_style,selected_synthetic_utility,10000,0.001987,0.033091,6.005871,0.000000,0.060059
ours - coa_gpt_style,selected_traceability,10000,0.344480,0.125870,273.679688,0.000000,2.736797
ours - coa_gpt_style,selected_controllability,10000,0.618569,0.028470,2172.723929,0.000000,21.727239
ours - coa_gpt_style,selected_oracle_regret,10000,-0.001717,0.033436,-5.136356,0.000000,-0.051364
