scenario_id,profile,complexity,uncertainty,time_pressure,n_claims,n_coas
1,anti_uav,6,0.897106,0.544444,64,3
2,humanitarian_c2,5,0.418837,0.709483,51,5
3,anti_uav,5,0.909429,0.572298,48,3
4,humanitarian_c2,8,0.745385,0.287792,71,3
5,conflict_event,6,0.643661,0.487834,63,3
6,humanitarian_c2,7,0.351838,0.669788,60,3
7,humanitarian_c2,6,0.310680,0.234803,61,4
8,humanitarian_c2,3,0.329762,0.814493,43,5
9,humanitarian_c2,3,0.483012,0.686152,47,4
10,anti_uav,7,0.459431,0.256068,67,4
11,humanitarian_c2,7,0.505236,0.350101,62,5
12,humanitarian_c2,3,0.445991,0.666843,40,4
13,humanitarian_c2,8,0.670577,0.802918,72,5
14,humanitarian_c2,8,0.551305,0.727442,72,5
15,conflict_event,4,0.911315,0.504298,44,3
16,conflict_event,6,0.627011,0.363864,55,3
17,humanitarian_c2,6,0.434755,0.657438,58,4
18,conflict_event,8,0.462874,0.376105,69,5
19,anti_uav,5,0.567623,0.262274,48,3
20,conflict_event,5,0.726134,0.595024,48,4
21,anti_uav,4,0.729928,0.811800,51,4
22,conflict_event,8,0.579126,0.332252,69,5
23,anti_uav,4,0.774056,0.308658,50,3
24,humanitarian_c2,7,0.732851,0.502934,71,4
25,anti_uav,4,0.517146,0.742574,47,3
26,anti_uav,8,0.579868,0.766212,74,3
27,conflict_event,5,0.946533,0.720851,59,4
28,anti_uav,7,0.604212,0.643098,65,4
29,humanitarian_c2,4,0.588583,0.579844,46,5
30,conflict_event,4,0.729775,0.632613,45,3
31,conflict_event,4,0.879624,0.638598,45,3
32,anti_uav,8,0.549310,0.525245,67,3
33,anti_uav,4,0.727814,0.361553,48,4
34,humanitarian_c2,4,0.400278,0.748094,53,4
35,conflict_event,6,0.780465,0.785370,57,4
36,humanitarian_c2,8,0.658351,0.307491,72,5
37,humanitarian_c2,5,0.315741,0.370772,58,5
38,humanitarian_c2,8,0.535269,0.676331,70,4
39,anti_uav,4,0.833963,0.425243,47,3
40,conflict_event,5,0.586672,0.593562,59,5
41,humanitarian_c2,3,0.704610,0.345016,37,5
42,conflict_event,9,0.420430,0.367994,76,5
43,anti_uav,6,0.837451,0.500406,56,5
44,anti_uav,5,0.424735,0.233619,52,5
45,humanitarian_c2,6,0.492224,0.524347,62,5
46,anti_uav,9,0.536089,0.325300,77,3
47,conflict_event,4,0.717564,0.611017,42,4
48,conflict_event,9,0.424378,0.528288,78,4
49,conflict_event,9,0.766142,0.705651,72,5
50,conflict_event,4,0.787402,0.655413,51,4
51,humanitarian_c2,4,0.795027,0.759017,49,3
52,conflict_event,8,0.880206,0.354427,66,5
53,conflict_event,7,0.825429,0.223522,69,4
54,anti_uav,8,0.899103,0.274997,71,4
55,humanitarian_c2,7,0.305382,0.426066,63,5
56,anti_uav,7,0.664292,0.491397,61,5
57,anti_uav,4,0.865799,0.750922,50,4
58,anti_uav,5,0.679477,0.795102,59,3
59,conflict_event,7,0.793455,0.599310,65,5
60,conflict_event,9,0.653664,0.679203,80,5
61,conflict_event,4,0.479829,0.499940,46,4
62,anti_uav,7,0.834044,0.558133,71,3
63,anti_uav,9,0.574813,0.747903,79,4
64,humanitarian_c2,8,0.732950,0.273650,67,4
65,conflict_event,6,0.440347,0.589898,65,3
66,anti_uav,6,0.449640,0.447283,59,4
67,humanitarian_c2,4,0.545190,0.694318,45,3
68,humanitarian_c2,4,0.488939,0.679188,53,5
69,anti_uav,6,0.881160,0.516060,65,5
70,conflict_event,4,0.644854,0.352948,49,5
71,anti_uav,6,0.891366,0.282832,63,5
72,humanitarian_c2,6,0.319304,0.601277,65,4
73,humanitarian_c2,7,0.369531,0.635423,64,4
74,humanitarian_c2,5,0.529739,0.489590,53,4
75,anti_uav,7,0.659533,0.202608,60,5
76,anti_uav,7,0.718619,0.683772,66,4
77,anti_uav,7,0.613792,0.558782,69,4
78,conflict_event,7,0.545029,0.271346,68,3
79,anti_uav,6,0.475228,0.698753,63,5
80,conflict_event,7,0.721157,0.246597,64,5
81,conflict_event,9,0.778065,0.448799,72,5
82,conflict_event,8,0.660892,0.208763,70,3
83,humanitarian_c2,6,0.627445,0.380415,60,3
84,conflict_event,5,0.476347,0.737786,54,3
85,humanitarian_c2,3,0.589074,0.744353,43,4
86,humanitarian_c2,6,0.669226,0.645121,65,5
87,humanitarian_c2,6,0.730970,0.507511,57,5
88,humanitarian_c2,8,0.520278,0.530445,66,4
89,anti_uav,7,0.596256,0.335173,63,3
90,anti_uav,6,0.816560,0.748994,61,3
91,conflict_event,7,0.446423,0.578144,63,5
92,anti_uav,5,0.378570,0.812880,56,4
93,humanitarian_c2,7,0.590353,0.314719,62,5
94,conflict_event,6,0.834771,0.712051,61,4
95,anti_uav,6,0.466231,0.562672,57,5
96,conflict_event,5,0.455390,0.769717,58,4
97,anti_uav,9,0.743395,0.431808,75,4
98,conflict_event,6,0.872460,0.570558,62,3
99,humanitarian_c2,5,0.783255,0.402739,53,3
100,humanitarian_c2,3,0.689242,0.553500,36,5
101,anti_uav,8,0.749382,0.492364,70,4
102,anti_uav,5,0.765420,0.791741,54,5
103,conflict_event,4,0.523773,0.655559,45,4
104,humanitarian_c2,5,0.718438,0.241999,55,4
105,humanitarian_c2,4,0.647736,0.464915,47,3
106,humanitarian_c2,5,0.539429,0.801047,53,5
107,humanitarian_c2,3,0.761197,0.202838,41,4
108,humanitarian_c2,5,0.781420,0.680846,49,3
109,conflict_event,6,0.566781,0.425006,65,3
110,conflict_event,5,0.586612,0.590580,49,4
111,humanitarian_c2,7,0.614328,0.206118,71,4
112,humanitarian_c2,8,0.760406,0.528675,71,4
113,conflict_event,7,0.666282,0.807476,69,3
114,anti_uav,5,0.509802,0.481219,57,5
115,conflict_event,9,0.407090,0.405828,73,3
116,anti_uav,8,0.773095,0.770057,66,5
117,anti_uav,6,0.710608,0.641803,62,3
118,humanitarian_c2,3,0.675153,0.732561,41,3
119,conflict_event,6,0.548566,0.481903,63,5
120,anti_uav,6,0.776443,0.417813,59,4
121,conflict_event,7,0.760365,0.495711,65,4
122,anti_uav,6,0.496181,0.291011,56,3
123,conflict_event,6,0.840503,0.571482,54,5
124,humanitarian_c2,6,0.289375,0.513345,55,5
125,anti_uav,5,0.469793,0.533405,50,5
126,humanitarian_c2,4,0.454239,0.490187,44,5
127,conflict_event,8,0.677296,0.806465,68,3
128,anti_uav,6,0.746680,0.783795,58,5
129,anti_uav,6,0.779591,0.302925,62,4
130,humanitarian_c2,4,0.790356,0.513369,42,5
131,conflict_event,6,0.423596,0.232828,56,5
132,anti_uav,6,0.706529,0.697340,55,3
133,anti_uav,6,0.741263,0.338690,59,3
134,anti_uav,6,0.687218,0.417847,63,4
135,humanitarian_c2,3,0.363359,0.729941,47,5
136,anti_uav,5,0.420746,0.697750,55,3
137,humanitarian_c2,8,0.321690,0.324511,76,5
138,humanitarian_c2,4,0.678684,0.250178,46,5
139,anti_uav,7,0.753689,0.570837,71,5
140,humanitarian_c2,8,0.439955,0.525988,73,4
141,anti_uav,6,0.806484,0.741544,63,5
142,humanitarian_c2,5,0.631827,0.574628,51,3
143,conflict_event,6,0.547126,0.392740,61,5
144,conflict_event,7,0.673027,0.558822,68,3
145,humanitarian_c2,6,0.721533,0.324374,59,3
146,anti_uav,9,0.511301,0.391301,83,4
147,conflict_event,4,0.883449,0.340607,48,4
148,humanitarian_c2,7,0.347154,0.503012,67,3
149,conflict_event,7,0.433341,0.344503,70,5
150,anti_uav,8,0.572430,0.585993,72,5
151,humanitarian_c2,4,0.343374,0.567794,43,5
152,conflict_event,7,0.538275,0.488423,66,4
153,anti_uav,7,0.808630,0.609653,65,4
154,conflict_event,8,0.475126,0.287098,68,5
155,conflict_event,4,0.870555,0.529727,51,3
156,anti_uav,7,0.427501,0.535101,66,4
157,conflict_event,7,0.468502,0.626155,70,5
158,anti_uav,9,0.565038,0.372339,79,3
159,conflict_event,6,0.856021,0.812228,54,4
160,conflict_event,5,0.726248,0.319964,59,5
161,conflict_event,8,0.777234,0.407923,72,3
162,conflict_event,5,0.934313,0.702929,58,4
163,anti_uav,6,0.445992,0.571215,57,4
164,anti_uav,4,0.601920,0.816114,47,5
165,conflict_event,8,0.793022,0.631086,74,3
166,anti_uav,5,0.760451,0.509268,57,5
167,humanitarian_c2,6,0.354672,0.504644,63,5
168,anti_uav,6,0.747050,0.307655,57,3
169,humanitarian_c2,7,0.285089,0.625740,63,5
170,conflict_event,5,0.676207,0.466490,54,4
171,humanitarian_c2,7,0.333135,0.243161,66,5
172,humanitarian_c2,7,0.439840,0.446942,71,3
173,anti_uav,5,0.497556,0.365933,56,4
174,humanitarian_c2,8,0.651093,0.296489,70,5
