factorial_seed_index,factorial_seed,evidence,role,flow,critique,gate,policy,policy_label,n,selected_gpi_mean,selected_gpi_sd,selected_gpi_ci95,selected_gpi_median,selected_gpi_q05,selected_gpi_q95,selected_controllability_mean,selected_controllability_sd,selected_controllability_ci95,selected_controllability_median,selected_controllability_q05,selected_controllability_q95,selected_traceability_mean,selected_traceability_sd,selected_traceability_ci95,selected_traceability_median,selected_traceability_q05,selected_traceability_q95
1,20267710,0,0,0,0,0,f00000,f00000,1000,0.403531,0.034407,0.002133,0.401614,0.347335,0.461317,0.240128,0.041461,0.002570,0.245547,0.171720,0.300066,0.329106,0.097156,0.006022,0.326154,0.174667,0.492571
1,20267710,1,0,0,0,0,f10000,f10000,1000,0.500242,0.035126,0.002177,0.499191,0.443599,0.563684,0.240078,0.040921,0.002536,0.244670,0.172791,0.298205,0.692553,0.087295,0.005411,0.693333,0.551429,0.834400
1,20267710,0,1,0,0,0,f01000,f01000,1000,0.445733,0.034407,0.002133,0.443815,0.389537,0.503519,0.451136,0.041461,0.002570,0.456555,0.382728,0.511074,0.329106,0.097156,0.006022,0.326154,0.174667,0.492571
1,20267710,1,1,0,0,0,f11000,f11000,1000,0.542444,0.035126,0.002177,0.541392,0.485801,0.605886,0.451086,0.040921,0.002536,0.455678,0.383799,0.509213,0.692553,0.087295,0.005411,0.693333,0.551429,0.834400
1,20267710,0,0,1,0,0,f00100,f00100,1000,0.421131,0.034407,0.002133,0.419214,0.364935,0.478917,0.328128,0.041461,0.002570,0.333547,0.259720,0.388066,0.329106,0.097156,0.006022,0.326154,0.174667,0.492571
1,20267710,1,0,1,0,0,f10100,f10100,1000,0.517842,0.035126,0.002177,0.516791,0.461199,0.581284,0.328078,0.040921,0.002536,0.332670,0.260791,0.386205,0.692553,0.087295,0.005411,0.693333,0.551429,0.834400
1,20267710,0,1,1,0,0,f01100,f01100,1000,0.463333,0.034407,0.002133,0.461415,0.407137,0.521119,0.539136,0.041461,0.002570,0.544555,0.470728,0.599074,0.329106,0.097156,0.006022,0.326154,0.174667,0.492571
1,20267710,1,1,1,0,0,f11100,f11100,1000,0.560044,0.035126,0.002177,0.558992,0.503401,0.623486,0.539086,0.040921,0.002536,0.543678,0.471799,0.597213,0.692553,0.087295,0.005411,0.693333,0.551429,0.834400
1,20267710,0,0,0,1,0,f00010,f00010,1000,0.429172,0.032578,0.002019,0.429055,0.375424,0.482015,0.240128,0.041461,0.002570,0.245547,0.171720,0.300066,0.327242,0.096123,0.005958,0.325556,0.174667,0.487273
1,20267710,1,0,0,1,0,f10010,f10010,1000,0.518558,0.032893,0.002039,0.517599,0.466653,0.576972,0.240078,0.040921,0.002536,0.244670,0.172791,0.298205,0.690139,0.087447,0.005420,0.689474,0.548800,0.835385
1,20267710,0,1,0,1,0,f01010,f01010,1000,0.471373,0.032578,0.002019,0.471256,0.417626,0.524217,0.451136,0.041461,0.002570,0.456555,0.382728,0.511074,0.327242,0.096123,0.005958,0.325556,0.174667,0.487273
1,20267710,1,1,0,1,0,f11010,f11010,1000,0.560760,0.032893,0.002039,0.559800,0.508854,0.619174,0.451086,0.040921,0.002536,0.455678,0.383799,0.509213,0.690139,0.087447,0.005420,0.689474,0.548800,0.835385
1,20267710,0,0,1,1,0,f00110,f00110,1000,0.446772,0.032578,0.002019,0.446655,0.393024,0.499615,0.328128,0.041461,0.002570,0.333547,0.259720,0.388066,0.327242,0.096123,0.005958,0.325556,0.174667,0.487273
1,20267710,1,0,1,1,0,f10110,f10110,1000,0.536158,0.032893,0.002039,0.535199,0.484253,0.594572,0.328078,0.040921,0.002536,0.332670,0.260791,0.386205,0.690139,0.087447,0.005420,0.689474,0.548800,0.835385
1,20267710,0,1,1,1,0,f01110,f01110,1000,0.488973,0.032578,0.002019,0.488856,0.435226,0.541817,0.539136,0.041461,0.002570,0.544555,0.470728,0.599074,0.327242,0.096123,0.005958,0.325556,0.174667,0.487273
1,20267710,1,1,1,1,0,f11110,f11110,1000,0.578360,0.032893,0.002039,0.577400,0.526454,0.636774,0.539086,0.040921,0.002536,0.543678,0.471799,0.597213,0.690139,0.087447,0.005420,0.689474,0.548800,0.835385
1,20267710,0,0,0,0,1,f00001,f00001,1000,0.464585,0.034032,0.002109,0.463447,0.410461,0.521264,0.541818,0.021242,0.001317,0.537979,0.511863,0.573970,0.329223,0.097093,0.006018,0.326154,0.174667,0.492571
1,20267710,1,0,0,0,1,f10001,f10001,1000,0.561194,0.034960,0.002167,0.560484,0.504993,0.625180,0.541768,0.020620,0.001278,0.538359,0.512229,0.572830,0.692553,0.087295,0.005411,0.693333,0.551429,0.834400
1,20267710,0,1,0,0,1,f01001,f01001,1000,0.506786,0.034032,0.002109,0.505649,0.452662,0.563465,0.752826,0.021242,0.001317,0.748987,0.722871,0.784978,0.329223,0.097093,0.006018,0.326154,0.174667,0.492571
1,20267710,1,1,0,0,1,f11001,f11001,1000,0.603396,0.034960,0.002167,0.602686,0.547194,0.667382,0.752776,0.020620,0.001278,0.749367,0.723237,0.783838,0.692553,0.087295,0.005411,0.693333,0.551429,0.834400
1,20267710,0,0,1,0,1,f00101,f00101,1000,0.482185,0.034032,0.002109,0.481047,0.428061,0.538864,0.629818,0.021242,0.001317,0.625979,0.599863,0.661970,0.329223,0.097093,0.006018,0.326154,0.174667,0.492571
1,20267710,1,0,1,0,1,f10101,f10101,1000,0.578794,0.034960,0.002167,0.578084,0.522593,0.642780,0.629768,0.020620,0.001278,0.626359,0.600229,0.660830,0.692553,0.087295,0.005411,0.693333,0.551429,0.834400
1,20267710,0,1,1,0,1,f01101,f01101,1000,0.524386,0.034032,0.002109,0.523249,0.470262,0.581065,0.840826,0.021242,0.001317,0.836987,0.810871,0.872978,0.329223,0.097093,0.006018,0.326154,0.174667,0.492571
1,20267710,1,1,1,0,1,f11101,f11101,1000,0.620996,0.034960,0.002167,0.620286,0.564794,0.684982,0.840776,0.020620,0.001278,0.837367,0.811237,0.871838,0.692553,0.087295,0.005411,0.693333,0.551429,0.834400
1,20267710,0,0,0,1,1,f00011,f00011,1000,0.490585,0.032140,0.001992,0.490500,0.439254,0.543228,0.541818,0.021242,0.001317,0.537979,0.511863,0.573970,0.327242,0.096123,0.005958,0.325556,0.174667,0.487273
1,20267710,1,0,0,1,1,f10011,f10011,1000,0.579818,0.032657,0.002024,0.579958,0.527427,0.639266,0.541768,0.020620,0.001278,0.538359,0.512229,0.572830,0.690139,0.087447,0.005420,0.689474,0.548800,0.835385
1,20267710,0,1,0,1,1,f01011,f01011,1000,0.532787,0.032140,0.001992,0.532702,0.481456,0.585430,0.752826,0.021242,0.001317,0.748987,0.722871,0.784978,0.327242,0.096123,0.005958,0.325556,0.174667,0.487273
