batch,seed,policy,policy_label,n,selected_gpi_mean,selected_gpi_sd,selected_gpi_ci95,selected_gpi_median,selected_gpi_q05,selected_gpi_q95,selected_synthetic_utility_mean,selected_synthetic_utility_sd,selected_synthetic_utility_ci95,selected_synthetic_utility_median,selected_synthetic_utility_q05,selected_synthetic_utility_q95,selected_oracle_regret_mean,selected_oracle_regret_sd,selected_oracle_regret_ci95,selected_oracle_regret_median,selected_oracle_regret_q05,selected_oracle_regret_q95,oracle_best_hit_mean,oracle_best_hit_sd,oracle_best_hit_ci95,oracle_best_hit_median,oracle_best_hit_q05,oracle_best_hit_q95,oracle_top2_hit_mean,oracle_top2_hit_sd,oracle_top2_hit_ci95,oracle_top2_hit_median,oracle_top2_hit_q05,oracle_top2_hit_q95
1,20261710,direct_llm,Direct-generation proxy,500,0.385867,0.036420,0.003192,0.385575,0.327290,0.453892,0.625084,0.065219,0.005717,0.629587,0.508596,0.725343,0.013636,0.029556,0.002591,0.000000,0.000000,0.088174,0.710000,0.454216,0.039814,1,0,1,0.898000,0.302951,0.026555,1,0,1
1,20261710,evidence_only,Evidence only,500,0.488427,0.036675,0.003215,0.487030,0.433485,0.555283,0.625850,0.063688,0.005582,0.629587,0.515392,0.730978,0.012869,0.026323,0.002307,0.000000,0.000000,0.072525,0.692000,0.462129,0.040507,1,0,1,0.918000,0.274639,0.024073,1,0,1
1,20261710,evidence_role,Evidence + role,500,0.553008,0.036355,0.003187,0.553483,0.498597,0.612558,0.626313,0.064101,0.005619,0.630930,0.515495,0.725943,0.012407,0.025394,0.002226,0.000000,0.000000,0.072603,0.704000,0.456948,0.040053,1,0,1,0.912000,0.283579,0.024857,1,0,1
1,20261710,evidence_critique,Evidence + critique,500,0.534717,0.033267,0.002916,0.535536,0.479762,0.591065,0.629377,0.061142,0.005359,0.633743,0.519317,0.725343,0.009343,0.021013,0.001842,0.000000,0.000000,0.062882,0.740000,0.439074,0.038486,1,0,1,0.938000,0.241397,0.021159,1,0,1
1,20261710,full_framework,Full framework,500,0.642342,0.032476,0.002847,0.643654,0.586720,0.699426,0.630160,0.061339,0.005377,0.633743,0.523111,0.730978,0.008560,0.019818,0.001737,0.000000,0.000000,0.050573,0.750000,0.433446,0.037993,1,0,1,0.952000,0.213980,0.018756,1,1,1
2,20261747,direct_llm,Direct-generation proxy,500,0.386094,0.036164,0.003170,0.385449,0.328628,0.450193,0.626079,0.062484,0.005477,0.631297,0.517962,0.722971,0.012060,0.026645,0.002336,0.000000,0.000000,0.073648,0.720000,0.449449,0.039396,1,0,1,0.924000,0.265264,0.023251,1,0,1
2,20261747,evidence_only,Evidence only,500,0.486876,0.034469,0.003021,0.486129,0.429237,0.547899,0.625119,0.062327,0.005463,0.630919,0.520680,0.722591,0.013020,0.029541,0.002589,0.000000,0.000000,0.079290,0.708000,0.455138,0.039895,1,0,1,0.920000,0.271565,0.023804,1,0,1
2,20261747,evidence_role,Evidence + role,500,0.552196,0.036026,0.003158,0.551335,0.494504,0.607537,0.626911,0.062015,0.005436,0.632163,0.518158,0.722591,0.011229,0.025308,0.002218,0.000000,0.000000,0.072140,0.718000,0.450424,0.039481,1,0,1,0.902000,0.297612,0.026087,1,0,1
2,20261747,evidence_critique,Evidence + critique,500,0.534520,0.033695,0.002953,0.534006,0.479840,0.587111,0.626472,0.061335,0.005376,0.630497,0.520872,0.722591,0.011668,0.024718,0.002167,0.000000,0.000000,0.066547,0.694000,0.461291,0.040434,1,0,1,0.928000,0.258747,0.022680,1,0,1
2,20261747,full_framework,Full framework,500,0.641392,0.033699,0.002954,0.642144,0.589005,0.695359,0.627901,0.062012,0.005436,0.632803,0.520936,0.724477,0.010238,0.022361,0.001960,0.000000,0.000000,0.064736,0.718000,0.450424,0.039481,1,0,1,0.932000,0.251998,0.022089,1,0,1
